itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
1,3.08,7.943,16.237,11.349,1.137,12.698,1.539,1.422,1.597,11.722,34.776,5.495,4.307,0.893,10.206,13.765,5.21,1.955,4.623,20.096,8.015,4.963,7.774,3.864,14.596
2,3.548,8.247,17.706,10.452,1.239,12.563,1.581,1.331,1.474,9.523,35.565,4.968,4.291,1.007,10.167,12.849,4.436,2.743,4.52,20.096,8.107,4.375,6.591,3.294,15.471
3,4.183,8.479,18.896,8.868,1.383,12.326,1.586,1.229,1.472,7.439,35.686,4.223,4.389,1.263,9.942,11.943,3.604,3.941,4.466,19.518,7.606,3.725,5.093,2.799,15.979
4,4.74,8.547,20.012,7.063,1.531,12.252,1.561,1.138,1.635,5.75,35.22,3.468,4.577,1.564,9.59,11.594,2.771,5.304,4.46,18.622,6.855,3.336,3.825,2.451,16.114
5,5.066,8.438,20.748,5.435,1.653,12.301,1.496,1.066,2.017,4.567,34.305,2.896,4.812,1.8,9.155,11.704,2.09,6.443,4.447,17.726,6.176,3.397,3.211,2.316,15.953
6,5.139,8.212,20.842,4.182,1.741,12.377,1.404,1.005,2.627,3.863,33.095,2.576,5.058,1.877,8.664,11.941,1.72,7.005,4.372,17.067,5.814,3.831,3.361,2.443,15.632
7,4.965,7.91,20.001,3.315,1.803,12.166,1.314,0.944,3.375,3.49,31.83,2.489,5.317,1.766,8.141,11.9,1.656,6.793,4.206,16.748,5.737,4.329,4.043,2.799,15.321
8,4.694,7.5,17.966,2.708,1.851,11.289,1.259,0.881,4.085,3.259,30.83,2.554,5.608,1.516,7.647,11.129,1.799,5.878,3.981,16.806,5.649,4.553,4.843,3.242,15.208
9,4.673,6.951,15.014,2.266,1.89,9.789,1.28,0.838,4.566,3.037,30.355,2.674,5.939,1.223,7.29,9.678,2.027,4.579,3.794,17.286,5.394,4.451,5.385,3.569,15.48
10,5.245,6.271,11.652,2.061,1.92,7.937,1.467,0.847,4.718,2.844,30.497,2.773,6.273,0.986,7.197,7.873,2.26,3.333,3.753,18.252,4.925,4.237,5.518,3.624,16.232
11,6.403,5.592,8.966,2.12,1.955,6.483,1.889,0.925,4.6,2.719,31.226,2.815,6.533,0.898,7.459,6.407,2.481,2.459,3.908,19.734,4.419,4.135,5.197,3.389,17.398
12,7.81,5.097,7.536,2.36,2.011,6.224,2.569,1.068,4.362,2.695,32.525,2.79,6.638,1.013,8.076,5.556,2.746,2.064,4.189,21.596,3.982,4.252,4.481,2.949,18.73
13,8.896,4.92,7.57,2.663,2.105,7.296,3.403,1.245,4.202,2.782,34.297,2.76,6.549,1.316,8.928,5.291,3.151,2.081,4.456,23.526,3.64,4.518,3.571,2.455,19.88
