itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
1145,9.429,1.406,6.777,12.557,1.697,7.967,1.278,0.378,2.123,2.745,0.392,2.62,0.405,0.463,0.257,17.05,12.973,5.063,3.049,0.295,5.154,8.157,1.871,1.385,0.339
1146,9.162,1.16,5.313,12.084,1.383,6.243,1.173,0.437,1.828,2.478,0.378,2.253,0.364,0.442,0.228,13.932,12.683,5.235,3.116,0.275,4.11,8.944,1.682,1.174,0.342
1147,9.303,1.122,4.614,11.654,1.323,5.233,1.076,0.501,1.464,2.298,0.371,2.169,0.355,0.469,0.203,10.516,12.881,5.374,3.14,0.274,4.155,9.857,1.864,1.199,0.375
1148,9.757,1.276,5.178,11.25,1.494,5.431,1.043,0.555,1.165,2.241,0.369,2.332,0.378,0.563,0.187,7.559,13.678,5.399,3.093,0.282,5.186,10.846,2.358,1.437,0.42
1149,10.202,1.526,6.95,10.86,1.772,6.938,1.138,0.586,1.034,2.279,0.37,2.622,0.416,0.718,0.18,5.629,15.102,5.23,2.941,0.288,6.638,11.873,2.966,1.759,0.454
1150,10.27,1.753,9.396,10.482,2.008,9.322,1.399,0.59,1.053,2.311,0.368,2.851,0.443,0.9,0.181,5.25,17.017,4.796,2.68,0.29,7.744,12.758,3.405,2.003,0.462
1151,9.748,1.865,11.656,10.121,2.092,11.809,1.804,0.566,1.181,2.246,0.357,2.89,0.438,1.052,0.184,6.518,19.188,4.197,2.347,0.293,8.001,13.318,3.5,2.055,0.443
1152,8.656,1.832,12.871,9.762,1.991,13.538,2.269,0.525,1.299,2.029,0.333,2.695,0.397,1.134,0.185,9.076,21.179,3.623,2.0,0.304,7.247,13.431,3.221,1.891,0.412
1153,7.311,1.692,12.632,9.47,1.749,14.006,2.679,0.472,1.365,1.694,0.302,2.322,0.332,1.142,0.182,12.18,22.387,3.27,1.687,0.328,5.782,13.034,2.679,1.575,0.386
1154,6.229,1.518,11.149,9.407,1.454,13.189,2.912,0.414,1.319,1.324,0.277,1.882,0.268,1.095,0.175,15.198,22.332,3.249,1.45,0.366,4.165,12.182,2.111,1.237,0.379
1155,5.895,1.385,8.992,9.765,1.205,11.447,2.892,0.361,1.229,1.04,0.272,1.522,0.221,1.031,0.167,17.762,20.973,3.543,1.319,0.412,2.917,11.051,1.74,1.017,0.394
