itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
1,3.753,2.705,2.016,2.735,2.181,2.059,0.844,1.2,0.522,3.377,3.766,3.194,3.013,1.505,1.825,5.641,1.45,0.702,0.42,0.761,1.494,1.657,1.117,0.684,0.724
2,3.572,2.97,2.379,2.906,2.149,1.83,1.002,1.142,0.614,3.091,4.323,3.308,3.19,1.535,1.911,5.132,1.429,0.876,0.479,0.754,1.699,1.941,1.146,0.651,0.748
3,3.564,3.179,3.122,3.278,2.066,1.688,1.199,1.177,0.74,2.573,4.864,3.499,3.47,1.501,2.054,4.539,1.553,1.108,0.54,0.71,2.0,2.227,1.129,0.622,0.745
4,3.854,3.263,4.085,3.715,1.904,1.62,1.392,1.26,0.871,2.02,5.227,3.698,3.767,1.395,2.192,4.136,1.851,1.304,0.599,0.641,2.315,2.445,1.074,0.604,0.729
5,4.435,3.21,4.964,4.071,1.676,1.547,1.529,1.325,0.965,1.726,5.313,3.815,3.96,1.227,2.264,4.039,2.258,1.4,0.647,0.573,2.586,2.532,1.001,0.605,0.713
6,5.094,3.064,5.486,4.245,1.45,1.462,1.573,1.327,1.002,1.969,5.128,3.823,3.945,1.028,2.265,4.138,2.642,1.37,0.682,0.528,2.724,2.472,0.937,0.635,0.712
7,5.516,2.908,5.499,4.214,1.313,1.374,1.513,1.261,0.982,2.844,4.778,3.819,3.688,0.846,2.245,4.272,2.893,1.23,0.7,0.516,2.713,2.298,0.901,0.691,0.724
8,5.492,2.831,5.058,4.005,1.315,1.397,1.38,1.156,0.918,4.14,4.42,3.893,3.249,0.721,2.268,4.35,2.958,1.022,0.706,0.532,2.556,2.066,0.903,0.758,0.748
9,4.996,2.901,4.381,3.675,1.433,1.626,1.227,1.045,0.831,5.44,4.194,4.053,2.761,0.673,2.359,4.403,2.839,0.807,0.706,0.555,2.313,1.84,0.951,0.815,0.779
10,4.205,3.132,3.77,3.281,1.579,2.068,1.114,0.952,0.764,6.374,4.156,4.185,2.385,0.723,2.487,4.48,2.592,0.642,0.706,0.566,2.062,1.655,1.054,0.839,0.814
11,3.362,3.45,3.386,2.841,1.655,2.66,1.073,0.888,0.764,6.698,4.265,4.113,2.239,0.889,2.585,4.567,2.296,0.558,0.71,0.552,1.86,1.521,1.208,0.824,0.85
12,2.663,3.735,3.256,2.363,1.604,3.325,1.1,0.858,0.852,6.372,4.411,3.722,2.369,1.165,2.593,4.663,2.024,0.557,0.719,0.52,1.74,1.445,1.388,0.775,0.883
13,2.195,3.893,3.205,1.907,1.438,3.949,1.163,0.872,1.02,5.56,4.471,3.053,2.743,1.493,2.489,4.609,1.803,0.614,0.73,0.482,1.714,1.441,1.549,0.717,0.906
14,1.927,3.91,3.086,1.553,1.238,4.493,1.222,0.947,1.242,4.597,4.364,2.324,3.257,1.767,2.306,4.314,1.634,0.705,0.742,0.454,1.8,1.508,1.644,0.679,0.919
15,1.782,3.831,2.863,1.419,1.107,4.919,1.277,1.1,1.479,3.796,4.079,1.8,3.756,1.907,2.107,3.768,1.512,0.821,0.752,0.444,1.951,1.607,1.64,0.674,0.924
16,1.713,3.728,2.636,1.546,1.104,5.322,1.348,1.326,1.691,3.322,3.66,1.64,4.09,1.87,1.946,3.097,1.434,0.955,0.759,0.449,2.15,1.693,1.551,0.699,0.926
17,1.705,3.644,2.506,1.858,1.219,5.672,1.447,1.591,1.844,3.134,3.182,1.827,4.19,1.692,1.846,2.497,1.411,1.081,0.755,0.459,2.373,1.713,1.431,0.736,0.933
18,1.745,3.576,2.49,2.219,1.391,5.886,1.558,1.847,1.953,3.045,2.723,2.209,4.111,1.466,1.797,2.188,1.43,1.168,0.733,0.463,3.178,1.798,1.383,0.78,0.945
19,1.8,3.483,2.534,2.554,1.555,5.842,1.641,2.04,2.104,2.907,2.346,2.645,3.983,1.292,1.769,2.316,1.488,1.196,0.689,0.454,5.658,2.286,1.532,0.878,0.956
20,1.831,3.319,2.576,2.865,1.692,5.492,1.641,2.134,2.311,2.707,2.09,3.058,3.916,1.239,1.743,2.872,1.578,1.167,0.623,0.433,11.068,3.43,1.943,1.095,0.956
21,1.845,3.07,2.562,3.149,1.836,4.826,1.541,2.129,2.556,2.544,1.959,3.437,3.939,1.306,1.716,3.676,1.686,1.092,0.546,0.408,19.293,5.27,2.571,1.45,0.942
22,1.952,2.779,2.499,3.365,2.038,3.932,1.387,2.06,2.739,2.539,1.932,3.859,4.007,1.46,1.681,4.426,1.818,0.984,0.478,0.384,28.999,7.631,3.323,1.895,0.916
23,2.3,2.522,2.461,3.505,2.349,3.019,1.26,1.971,2.771,2.72,1.984,4.451,4.038,1.655,1.629,4.854,1.99,0.855,0.432,0.369,37.647,10.131,4.102,2.333,0.888
24,2.971,2.39,2.553,3.529,2.772,2.308,1.219,1.901,2.615,2.998,2.096,5.277,3.963,1.855,1.553,4.878,2.218,0.727,0.419,0.368,42.767,12.231,4.811,2.652,0.864
25,3.864,2.44,2.872,3.414,3.265,1.933,1.266,1.871,2.323,3.245,2.259,6.254,3.774,2.06,1.471,4.604,2.482,0.627,0.436,0.383,42.635,13.346,5.348,2.778,0.845
26,4.727,2.661,3.401,3.18,3.771,1.934,1.355,1.877,2.008,3.353,2.454,7.17,3.526,2.303,1.421,4.269,2.721,0.581,0.476,0.408,37.648,13.311,5.641,2.706,0.832
27,5.284,2.993,3.996,2.912,4.221,2.215,1.42,1.907,1.776,3.296,2.648,7.863,3.298,2.597,1.442,4.054,2.837,0.604,0.526,0.435,30.298,12.369,5.672,2.499,0.833
28,5.33,3.36,4.437,2.768,4.552,2.567,1.421,1.952,1.684,3.162,2.797,8.336,3.138,2.913,1.556,4.017,2.754,0.71,0.573,0.457,23.304,10.998,5.466,2.245,0.862
29,4.851,3.701,4.594,2.962,4.703,2.765,1.372,1.983,1.697,3.097,2.859,8.629,3.031,3.191,1.745,4.113,2.466,0.891,0.605,0.469,18.897,9.612,5.086,2.021,0.927
30,4.06,3.982,4.438,3.611,4.659,2.732,1.329,1.967,1.706,3.211,2.814,8.832,2.93,3.359,1.956,4.215,2.042,1.111,0.617,0.474,17.169,8.376,4.601,1.847,1.02
31,3.3,4.178,4.065,4.611,4.444,2.436,1.342,1.885,1.626,3.505,2.667,8.982,2.801,3.362,2.128,4.201,1.598,1.315,0.606,0.478,17.093,7.244,4.075,1.692,1.119
32,2.84,4.272,3.516,5.663,4.102,2.02,1.416,1.758,1.437,3.927,2.452,9.044,2.673,3.228,2.213,4.042,1.234,1.454,0.57,0.488,16.772,6.1,3.567,1.517,1.198
33,2.762,4.253,3.041,6.432,3.689,1.706,1.539,1.633,1.22,4.414,2.228,9.065,2.621,3.022,2.197,3.793,0.997,1.511,0.514,0.506,15.144,4.917,3.148,1.316,1.244
34,2.884,4.161,2.697,6.717,3.265,1.588,1.653,1.566,1.088,4.933,2.046,9.066,2.703,2.801,2.099,3.536,0.86,1.501,0.446,0.526,12.293,3.776,2.819,1.109,1.251
35,2.931,4.111,2.544,6.485,2.909,1.711,1.678,1.602,1.1,5.475,1.936,8.986,2.91,2.6,1.96,3.276,0.771,1.469,0.377,0.539,8.772,2.755,2.529,0.922,1.226
36,2.752,4.197,2.531,5.922,2.671,1.98,1.61,1.767,1.249,5.942,1.907,8.775,3.169,2.456,1.82,3.013,0.704,1.458,0.328,0.538,5.196,1.929,2.217,0.782,1.18
37,2.37,4.51,2.606,5.334,2.546,2.328,1.49,2.047,1.462,6.249,1.941,8.384,3.367,2.373,1.705,2.706,0.662,1.477,0.315,0.519,2.508,1.365,1.905,0.719,1.122
38,1.936,5.05,2.803,4.982,2.504,2.766,1.419,2.392,1.644,6.381,2.005,7.77,3.408,2.382,1.623,2.39,0.674,1.521,0.346,0.492,1.179,1.02,1.615,0.752,1.051
39,1.575,5.682,3.181,4.97,2.504,3.36,1.475,2.721,1.708,6.368,2.059,6.938,3.264,2.517,1.574,2.113,0.775,1.585,0.419,0.466,0.82,0.795,1.368,0.867,0.966
40,1.347,6.236,3.748,5.155,2.511,4.213,1.676,2.95,1.676,6.308,2.071,5.945,2.984,2.794,1.549,1.929,0.966,1.665,0.519,0.451,0.935,0.635,1.195,1.019,0.872
41,1.257,6.561,4.433,5.283,2.543,5.277,1.985,3.016,1.619,6.267,2.02,4.94,2.672,3.177,1.538,1.801,1.222,1.748,0.631,0.445,1.157,0.532,1.1,1.144,0.782
42,1.271,6.574,5.075,5.121,2.634,6.31,2.351,2.89,1.64,6.26,1.918,4.143,2.427,3.552,1.525,1.694,1.523,1.822,0.737,0.447,1.32,0.494,1.077,1.192,0.714
43,1.337,6.276,5.534,4.593,2.788,7.023,2.747,2.597,1.763,6.192,1.791,3.658,2.286,3.819,1.495,1.621,1.864,1.87,0.817,0.452,1.453,0.509,1.081,1.144,0.676
44,1.423,5.745,5.732,3.821,2.987,7.216,3.137,2.21,1.966,5.934,1.658,3.469,2.222,3.923,1.439,1.596,2.219,1.864,0.852,0.455,1.556,0.6,1.072,1.015,0.665
45,1.516,5.09,5.583,2.978,3.179,6.956,3.469,1.814,2.181,5.393,1.533,3.496,2.17,3.873,1.352,1.663,2.521,1.788,0.835,0.451,1.774,0.829,1.051,0.852,0.663
46,1.596,4.4,5.16,2.228,3.302,6.657,3.679,1.479,2.321,4.593,1.417,3.673,2.065,3.712,1.255,1.82,2.675,1.64,0.772,0.437,2.348,1.239,1.051,0.703,0.656
47,1.659,3.723,4.67,1.704,3.304,6.82,3.71,1.234,2.345,3.708,1.309,3.965,1.887,3.479,1.183,2.101,2.631,1.425,0.689,0.414,3.864,1.782,1.116,0.594,0.637
48,1.761,3.105,4.535,1.483,3.186,7.992,3.544,1.076,2.233,3.002,1.216,4.325,1.669,3.2,1.168,2.446,2.417,1.176,0.627,0.384,6.777,2.337,1.252,0.534,0.607
49,2.026,2.603,4.82,1.488,3.001,9.999,3.244,0.99,2.108,2.638,1.149,4.695,1.454,2.885,1.216,2.862,2.122,0.926,0.614,0.355,11.083,2.762,1.429,0.515,0.58
50,2.565,2.241,5.521,1.548,2.833,12.321,2.905,0.971,2.006,2.589,1.123,5.039,1.279,2.527,1.307,3.243,1.857,0.705,0.661,0.337,15.617,2.935,1.571,0.53,0.573
51,3.392,2.01,6.379,1.539,2.725,14.141,2.609,1.033,2.059,2.689,1.148,5.326,1.172,2.168,1.399,3.521,1.711,0.552,0.747,0.335,19.221,2.855,1.607,0.567,0.599
52,4.411,1.893,7.103,1.48,2.66,14.891,2.398,1.185,2.285,2.726,1.215,5.546,1.141,1.871,1.445,3.608,1.7,0.502,0.837,0.351,20.813,2.6,1.507,0.615,0.655
53,5.396,1.901,7.502,1.472,2.58,14.439,2.28,1.416,2.67,2.586,1.312,5.711,1.181,1.71,1.416,3.502,1.783,0.574,0.894,0.376,20.07,2.306,1.291,0.658,0.72
54,6.116,2.091,7.52,1.614,2.447,12.989,2.229,1.704,3.17,2.257,1.434,5.825,1.281,1.768,1.315,3.259,1.878,0.745,0.898,0.395,17.378,2.09,1.005,0.687,0.765
55,6.388,2.524,7.251,1.905,2.282,11.101,2.224,1.999,3.678,1.842,1.591,5.878,1.422,2.043,1.175,2.936,1.917,0.954,0.851,0.401,13.907,2.001,0.722,0.703,0.766
56,6.152,3.227,6.874,2.282,2.161,9.354,2.249,2.242,4.087,1.559,1.8,5.85,1.587,2.429,1.05,2.6,1.865,1.135,0.782,0.392,10.529,2.0,0.511,0.711,0.718
57,5.488,4.139,6.46,2.656,2.142,8.054,2.289,2.383,4.287,1.642,2.07,5.698,1.774,2.812,0.986,2.306,1.751,1.26,0.73,0.377,7.925,1.994,0.425,0.724,0.636
58,4.626,5.083,6.087,2.959,2.243,7.377,2.351,2.394,4.272,2.225,2.387,5.371,1.995,3.16,1.003,2.092,1.679,1.343,0.729,0.372,6.047,1.907,0.484,0.752,0.556
59,3.845,5.81,5.612,3.17,2.454,7.099,2.44,2.283,4.074,3.223,2.701,4.891,2.258,3.483,1.085,2.11,1.782,1.407,0.785,0.385,4.578,1.728,0.672,0.807,0.512
60,3.375,6.108,5.122,3.302,2.71,7.014,2.523,2.088,3.784,4.359,2.935,4.325,2.561,3.785,1.194,2.403,2.162,1.466,0.875,0.418,3.384,1.53,0.93,0.883,0.53
61,3.343,5.917,4.653,3.383,2.92,6.774,2.585,1.866,3.526,5.269,3.024,3.743,2.88,4.013,1.302,2.935,2.788,1.509,0.96,0.465,2.636,1.409,1.17,0.959,0.612
62,3.739,5.349,4.324,3.457,3.028,6.28,2.663,1.671,3.409,5.65,2.954,3.215,3.179,4.074,1.387,3.566,3.487,1.501,1.013,0.513,2.644,1.425,1.316,1.018,0.734
63,4.457,4.648,4.187,3.644,3.029,5.547,2.851,1.534,3.562,5.475,2.776,2.835,3.42,3.905,1.444,4.159,4.021,1.415,1.019,0.551,3.413,1.597,1.323,1.05,0.86
64,5.345,4.064,4.27,4.151,2.95,4.779,3.208,1.477,3.964,4.985,2.575,2.687,3.573,3.503,1.477,4.57,4.191,1.258,0.979,0.571,4.38,1.838,1.199,1.057,0.958
65,6.199,3.747,4.449,5.093,2.836,4.102,3.712,1.514,4.547,4.509,2.431,2.822,3.626,2.94,1.496,4.593,3.926,1.058,0.906,0.569,4.934,2.02,0.992,1.046,1.012
66,6.798,3.708,4.551,6.397,2.734,3.649,4.263,1.65,5.066,4.261,2.371,3.227,3.578,2.349,1.513,4.219,3.326,0.867,0.821,0.55,4.94,2.056,0.777,1.026,1.023
67,6.961,3.843,4.459,7.732,2.666,3.423,4.73,1.873,5.359,4.28,2.369,3.791,3.429,1.866,1.536,3.569,2.627,0.725,0.74,0.523,4.712,1.952,0.618,1.007,1.001
68,6.625,4.009,4.227,8.682,2.626,3.328,4.999,2.149,5.329,4.581,2.371,4.349,3.192,1.56,1.564,2.848,2.083,0.647,0.671,0.5,4.302,1.796,0.543,0.993,0.956
69,6.002,4.092,3.968,8.949,2.577,3.31,5.071,2.41,5.061,5.16,2.33,4.726,2.906,1.385,1.584,2.297,1.838,0.634,0.616,0.493,3.977,1.681,0.558,0.981,0.901
70,5.408,4.049,3.886,8.469,2.472,3.372,4.979,2.598,4.689,5.943,2.235,4.794,2.635,1.25,1.58,2.048,1.883,0.678,0.577,0.514,3.77,1.659,0.652,0.968,0.849
71,5.094,3.897,4.141,7.511,2.3,3.495,4.795,2.722,4.306,6.774,2.129,4.558,2.446,1.144,1.548,2.125,2.081,0.773,0.559,0.565,3.601,1.715,0.807,0.948,0.819
72,5.12,3.681,4.749,6.602,2.11,3.639,4.595,2.847,3.99,7.435,2.077,4.144,2.386,1.159,1.497,2.407,2.259,0.909,0.562,0.638,3.335,1.786,0.997,0.929,0.82
73,5.362,3.435,5.486,6.228,1.976,3.746,4.369,3.048,3.77,7.7,2.128,3.683,2.471,1.388,1.454,2.768,2.3,1.077,0.583,0.712,2.941,1.804,1.185,0.915,0.852
74,5.608,3.166,6.131,6.567,1.934,3.788,4.055,3.342,3.642,7.415,2.286,3.243,2.683,1.804,1.445,3.15,2.183,1.297,0.62,0.766,2.507,1.736,1.331,0.896,0.901
75,5.599,2.88,6.446,7.439,1.966,3.79,3.612,3.649,3.592,6.577,2.517,2.867,2.97,2.277,1.49,3.436,1.951,1.608,0.672,0.782,2.159,1.603,1.424,0.857,0.943
76,5.17,2.614,6.367,8.438,2.011,3.846,3.132,3.833,3.599,5.396,2.774,2.629,3.268,2.653,1.587,3.684,1.691,2.02,0.74,0.751,2.032,1.438,1.483,0.806,0.956
77,4.472,2.42,6.046,9.107,2.001,3.983,2.778,3.77,3.653,4.275,3.016,2.629,3.518,2.852,1.716,3.954,1.503,2.486,0.82,0.681,2.082,1.297,1.535,0.776,0.929
78,3.837,2.335,5.789,9.096,1.907,4.185,2.66,3.441,3.743,3.578,3.215,2.882,3.689,2.921,1.852,4.309,1.432,2.909,0.897,0.587,2.274,1.242,1.593,0.801,0.867
79,3.516,2.345,5.84,8.326,1.74,4.453,2.783,2.972,3.892,3.314,3.362,3.254,3.798,2.961,1.983,4.702,1.443,3.173,0.953,0.492,2.585,1.306,1.637,0.888,0.793
80,3.604,2.401,6.35,6.985,1.556,4.807,3.039,2.544,4.154,3.256,3.463,3.562,3.881,3.066,2.109,5.081,1.441,3.194,0.976,0.415,2.961,1.486,1.632,1.0,0.732
81,3.986,2.45,7.285,5.491,1.398,5.244,3.284,2.274,4.626,3.192,3.527,3.663,3.962,3.238,2.222,5.315,1.369,2.98,0.956,0.369,3.305,1.733,1.549,1.083,0.697
82,4.4,2.455,8.404,4.316,1.308,5.691,3.409,2.163,5.355,3.075,3.567,3.592,4.046,3.438,2.305,5.283,1.235,2.617,0.901,0.357,3.499,1.97,1.382,1.085,0.688
83,4.626,2.391,9.311,3.745,1.34,6.03,3.366,2.112,6.324,2.942,3.596,3.55,4.133,3.576,2.347,5.033,1.11,2.236,0.832,0.372,3.568,2.131,1.154,0.99,0.7
84,4.546,2.273,9.689,3.766,1.536,6.133,3.184,2.011,7.329,2.819,3.633,3.758,4.226,3.561,2.354,4.66,1.107,1.946,0.761,0.403,3.499,2.2,0.944,0.835,0.729
85,4.15,2.145,9.415,4.115,1.902,5.98,2.931,1.824,8.065,2.72,3.693,4.324,4.32,3.389,2.344,4.407,1.281,1.793,0.697,0.44,3.353,2.219,0.835,0.681,0.769
86,3.533,2.061,8.488,4.465,2.369,5.667,2.674,1.597,8.287,2.626,3.763,5.13,4.415,3.148,2.343,4.391,1.589,1.754,0.648,0.474,3.148,2.267,0.877,0.584,0.807
87,2.862,2.069,7.117,4.544,2.82,5.382,2.452,1.39,7.966,2.535,3.821,5.874,4.52,2.907,2.376,4.65,1.923,1.761,0.616,0.5,2.89,2.408,1.05,0.572,0.831
88,2.395,2.184,5.625,4.227,3.136,5.324,2.259,1.242,7.288,2.457,3.853,6.268,4.635,2.688,2.458,5.014,2.159,1.754,0.599,0.521,2.536,2.612,1.267,0.627,0.832
89,2.426,2.386,4.39,3.679,3.225,5.717,2.069,1.162,6.544,2.406,3.872,6.16,4.729,2.482,2.588,5.261,2.191,1.704,0.589,0.545,2.141,2.776,1.423,0.694,0.816
90,3.149,2.653,3.663,3.264,3.059,6.585,1.855,1.129,5.954,2.399,3.917,5.597,4.76,2.281,2.751,5.185,1.976,1.59,0.579,0.579,1.764,2.788,1.448,0.726,0.794
91,4.553,2.948,3.482,3.28,2.699,7.742,1.619,1.112,5.57,2.44,4.023,4.798,4.706,2.09,2.93,4.714,1.584,1.408,0.566,0.618,1.505,2.6,1.371,0.712,0.783
92,6.36,3.206,3.743,3.758,2.255,8.929,1.406,1.1,5.298,2.526,4.19,4.024,4.574,1.945,3.099,3.934,1.148,1.173,0.555,0.656,1.39,2.267,1.284,0.666,0.791
93,8.119,3.363,4.355,4.579,1.846,9.977,1.274,1.11,4.97,2.64,4.366,3.481,4.418,1.87,3.232,3.039,0.809,0.92,0.547,0.682,1.404,1.934,1.29,0.622,0.819
94,9.376,3.373,5.295,5.57,1.565,10.72,1.272,1.161,4.459,2.746,4.466,3.255,4.313,1.851,3.3,2.232,0.7,0.697,0.546,0.687,1.45,1.755,1.424,0.611,0.852
95,9.858,3.228,6.524,6.488,1.45,11.133,1.457,1.249,3.788,2.838,4.428,3.293,4.301,1.887,3.289,1.655,0.882,0.548,0.551,0.67,1.455,1.803,1.638,0.642,0.877
96,9.557,2.968,7.882,7.112,1.471,11.126,1.877,1.341,3.089,2.951,4.259,3.474,4.396,2.005,3.2,1.338,1.324,0.508,0.562,0.635,1.384,2.019,1.83,0.703,0.881
97,8.68,2.664,9.2,7.361,1.568,10.808,2.509,1.401,2.514,3.133,4.033,3.68,4.585,2.244,3.064,1.228,1.889,0.586,0.588,0.592,1.25,2.258,1.895,0.766,0.864
98,7.524,2.389,10.292,7.247,1.69,10.257,3.21,1.402,2.222,3.406,3.845,3.842,4.839,2.587,2.936,1.249,2.387,0.754,0.633,0.551,1.132,2.371,1.784,0.803,0.837
99,6.404,2.184,11.08,6.833,1.8,9.671,3.779,1.337,2.236,3.779,3.756,3.931,5.112,2.968,2.857,1.38,2.627,0.947,0.693,0.522,1.105,2.317,1.549,0.797,0.81
100,5.476,2.047,11.466,6.152,1.888,9.086,4.05,1.214,2.507,4.273,3.755,3.924,5.346,3.311,2.846,1.59,2.516,1.093,0.755,0.506,1.191,2.166,1.291,0.752,0.785
101,4.737,1.966,11.41,5.248,1.975,8.505,3.931,1.057,2.91,4.864,3.784,3.787,5.485,3.527,2.887,1.851,2.096,1.166,0.804,0.498,1.362,2.072,1.117,0.688,0.763
102,4.109,1.969,10.968,4.217,2.084,7.928,3.455,0.907,3.377,5.421,3.803,3.493,5.472,3.546,2.947,2.132,1.513,1.178,0.827,0.494,1.555,2.167,1.072,0.624,0.749
103,3.575,2.13,10.29,3.245,2.215,7.358,2.756,0.809,3.823,5.792,3.814,3.035,5.283,3.363,2.984,2.337,0.95,1.155,0.814,0.492,1.721,2.469,1.126,0.571,0.749
104,3.202,2.516,9.643,2.553,2.341,6.82,2.042,0.81,4.189,5.854,3.835,2.506,4.955,3.051,2.974,2.427,0.554,1.119,0.777,0.495,1.828,2.883,1.183,0.533,0.767
105,3.075,3.117,9.121,2.305,2.421,6.241,1.521,0.934,4.39,5.521,3.884,2.084,4.587,2.686,2.913,2.281,0.374,1.077,0.749,0.508,1.875,3.267,1.165,0.502,0.803
106,3.221,3.805,8.747,2.511,2.419,5.638,1.335,1.158,4.344,4.853,3.974,1.952,4.287,2.331,2.83,1.98,0.367,1.017,0.762,0.537,1.815,3.522,1.049,0.481,0.846
107,3.588,4.377,8.389,3.047,2.336,5.113,1.525,1.418,4.028,4.082,4.111,2.188,4.13,2.034,2.779,1.614,0.451,0.928,0.825,0.582,1.717,3.635,0.865,0.472,0.883
108,4.146,4.666,7.999,3.74,2.227,4.774,2.037,1.633,3.501,3.556,4.273,2.717,4.126,1.813,2.813,1.319,0.573,0.804,0.922,0.639,1.615,3.655,0.672,0.479,0.906
109,4.825,4.586,7.612,4.311,2.175,4.68,2.739,1.741,2.881,3.555,4.429,3.322,4.211,1.677,2.953,1.187,0.712,0.654,1.02,0.698,1.641,3.609,0.513,0.511,0.916
110,5.501,4.169,7.449,4.518,2.24,4.929,3.458,1.722,2.291,4.143,4.561,3.735,4.3,1.632,3.173,1.252,0.857,0.521,1.071,0.746,1.743,3.478,0.431,0.576,0.92
111,6.025,3.546,7.723,4.302,2.392,5.491,3.984,1.601,1.877,5.097,4.694,3.761,4.338,1.647,3.42,1.543,0.997,0.46,1.046,0.773,1.899,3.233,0.441,0.674,0.925
112,6.252,2.915,8.496,3.791,2.575,6.246,4.153,1.438,1.675,6.035,4.854,3.383,4.327,1.657,3.649,2.013,1.118,0.509,0.942,0.776,2.08,2.852,0.508,0.793,0.938
113,6.076,2.433,9.539,3.229,2.715,6.972,3.918,1.297,1.701,6.554,5.037,2.793,4.318,1.605,3.83,2.564,1.189,0.681,0.791,0.764,2.215,2.38,0.583,0.909,0.956
114,5.514,2.151,10.384,2.868,2.74,7.347,3.386,1.205,1.86,6.459,5.216,2.307,4.379,1.474,3.953,3.035,1.184,0.965,0.64,0.745,2.25,1.917,0.631,0.994,0.969
115,4.743,2.023,10.704,2.861,2.666,7.24,2.755,1.157,2.102,5.91,5.366,2.215,4.553,1.297,4.029,3.326,1.107,1.356,0.537,0.727,2.155,1.573,0.646,1.032,0.966
116,4.013,1.964,10.394,3.218,2.581,6.751,2.217,1.132,2.313,5.24,5.483,2.606,4.835,1.133,4.063,3.359,0.992,1.837,0.505,0.717,1.929,1.402,0.631,1.019,0.946
117,3.563,1.918,9.637,3.838,2.6,6.203,1.869,1.117,2.504,4.759,5.566,3.322,5.177,1.037,4.051,3.141,0.905,2.355,0.538,0.716,1.657,1.386,0.604,0.964,0.917
118,3.502,1.859,8.793,4.506,2.782,5.852,1.689,1.113,2.655,4.651,5.613,4.075,5.514,1.045,3.995,2.769,0.94,2.804,0.62,0.723,1.427,1.44,0.588,0.884,0.89
119,3.822,1.796,7.969,5.028,3.07,5.812,1.605,1.148,2.872,4.896,5.621,4.578,5.773,1.152,3.899,2.393,1.179,3.054,0.732,0.734,1.328,1.485,0.597,0.797,0.872
120,4.38,1.754,7.19,5.32,3.307,6.223,1.557,1.247,3.181,5.326,5.588,4.71,5.893,1.336,3.771,2.14,1.634,3.016,0.854,0.741,1.43,1.503,0.642,0.712,0.869
121,4.943,1.747,6.384,5.364,3.33,7.029,1.541,1.406,3.591,5.676,5.526,4.497,5.85,1.548,3.636,2.034,2.23,2.682,0.963,0.736,1.81,1.509,0.718,0.632,0.881
122,5.277,1.769,5.394,5.178,3.067,7.913,1.585,1.57,4.043,5.721,5.445,4.066,5.692,1.714,3.515,2.008,2.817,2.131,1.037,0.715,2.518,1.561,0.813,0.557,0.903
123,5.308,1.814,4.404,4.872,2.587,8.621,1.716,1.665,4.421,5.432,5.355,3.601,5.511,1.787,3.398,2.008,3.213,1.503,1.054,0.677,3.483,1.729,0.91,0.487,0.932
124,5.197,1.895,3.464,4.642,2.057,8.905,1.929,1.633,4.61,4.954,5.285,3.252,5.393,1.78,3.261,2.011,3.286,0.946,1.01,0.627,4.498,2.011,0.986,0.429,0.971
125,5.101,2.041,2.787,4.646,1.648,8.748,2.182,1.465,4.536,4.447,5.279,3.089,5.368,1.756,3.094,2.054,3.004,0.561,0.916,0.578,5.266,2.366,1.028,0.395,1.031
126,5.055,2.319,2.533,4.9,1.444,8.221,2.42,1.216,4.19,4.018,5.343,3.067,5.396,1.781,2.914,2.18,2.448,0.366,0.8,0.543,5.729,2.71,1.025,0.395,1.121
127,5.031,2.785,2.836,5.254,1.426,7.593,2.604,0.991,3.684,3.666,5.43,3.067,5.405,1.888,2.745,2.417,1.813,0.317,0.696,0.531,6.182,2.969,0.973,0.434,1.242
128,4.923,3.455,3.492,5.502,1.51,7.12,2.711,0.911,3.164,3.333,5.475,2.986,5.338,2.046,2.61,2.762,1.303,0.352,0.632,0.541,7.001,3.11,0.894,0.51,1.385
