itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
702,52.688,1.14,312.59,19.974,0.756,153.622,2.271,1.453,11.278,6.559,0.939,2.858,0.791,0.678,0.809,4.93,1.656,0.963,0.987,0.694,7.178,2.834,1.4,1.689,1.21
703,70.385,1.239,440.821,26.683,0.837,217.86,2.468,1.614,12.85,8.46,0.894,3.276,0.95,0.88,0.846,5.343,1.933,0.857,0.968,0.675,7.487,2.943,1.352,1.943,1.172
704,80.178,1.298,527.793,30.35,0.946,262.663,2.592,1.774,14.021,9.569,0.853,3.434,1.132,1.08,0.917,5.78,2.249,0.757,0.943,0.645,7.428,2.814,1.368,2.108,1.182
705,78.507,1.311,543.391,29.649,1.068,272.839,2.578,1.895,14.567,9.536,0.828,3.303,1.302,1.263,1.021,6.473,2.544,0.699,0.909,0.615,7.177,2.512,1.483,2.137,1.251
706,65.854,1.279,481.846,24.869,1.171,245.107,2.385,1.933,14.574,8.361,0.828,2.929,1.42,1.415,1.136,7.561,2.789,0.703,0.863,0.593,6.78,2.159,1.681,2.021,1.353
707,46.701,1.21,364.961,17.763,1.228,189.618,2.035,1.853,14.386,6.496,0.853,2.495,1.455,1.539,1.228,8.834,2.973,0.784,0.806,0.578,6.466,1.875,1.935,1.791,1.441
708,27.351,1.114,231.344,10.68,1.22,124.699,1.625,1.662,13.754,4.669,0.901,2.289,1.402,1.67,1.268,9.814,3.094,0.963,0.755,0.572,6.104,1.722,2.254,1.513,1.477
709,12.964,1.021,118.527,5.426,1.152,68.631,1.262,1.41,12.701,3.499,0.964,2.531,1.286,1.841,1.25,10.079,3.135,1.255,0.738,0.584,5.774,1.685,2.679,1.257,1.452
710,5.355,0.966,46.669,2.651,1.053,31.85,1.026,1.182,11.315,3.234,1.031,3.234,1.151,2.043,1.193,9.43,3.079,1.631,0.785,0.62,5.403,1.746,3.202,1.071,1.388
711,3.065,0.976,14.64,1.884,0.961,14.369,0.917,1.055,9.652,3.654,1.087,4.174,1.038,2.218,1.132,8.134,2.917,2.014,0.899,0.683,5.06,1.87,3.724,0.969,1.318
712,3.08,1.06,5.718,2.086,0.905,8.345,0.868,1.061,7.732,4.237,1.121,4.993,0.965,2.28,1.097,6.394,2.689,2.285,1.049,0.762,4.662,2.043,4.08,0.936,1.27
713,3.254,1.191,3.681,2.557,0.891,5.885,0.855,1.168,5.837,4.511,1.132,5.367,0.928,2.164,1.094,4.938,2.469,2.336,1.184,0.837,4.201,2.275,4.102,0.936,1.252
714,3.364,1.319,2.526,3.175,0.898,3.959,0.929,1.297,4.839,4.336,1.123,5.157,0.91,1.859,1.104,3.919,2.338,2.122,1.252,0.879,3.746,2.582,3.718,0.931,1.251
715,3.376,1.398,1.939,3.755,0.896,2.678,1.125,1.375,5.579,3.751,1.103,4.406,0.891,1.439,1.099,3.545,2.315,1.714,1.225,0.871,3.355,2.916,3.013,0.911,1.248
716,3.292,1.401,1.844,4.127,0.862,2.121,1.444,1.369,8.15,2.903,1.074,3.317,0.861,1.009,1.055,3.481,2.408,1.248,1.112,0.813,3.005,3.217,2.182,0.898,1.231
717,3.143,1.328,2.23,4.208,0.794,1.964,1.837,1.297,11.496,2.007,1.037,2.183,0.826,0.673,0.973,3.403,2.582,0.855,0.958,0.725,2.594,3.456,1.446,0.942,1.203
718,3.016,1.204,3.227,4.082,0.716,2.42,2.239,1.204,14.682,1.265,0.994,1.269,0.804,0.491,0.872,3.216,2.758,0.623,0.829,0.635,2.228,3.654,0.955,1.088,1.166
719,3.015,1.07,4.678,3.968,0.665,2.973,2.596,1.144,16.281,0.792,0.945,0.716,0.805,0.461,0.789,2.777,2.869,0.575,0.778,0.567,1.978,3.915,0.755,1.347,1.12
720,3.187,0.962,6.476,4.05,0.689,3.651,2.853,1.154,16.114,0.57,0.892,0.502,0.833,0.529,0.754,2.313,2.878,0.656,0.817,0.53,1.934,4.325,0.788,1.668,1.063
721,3.483,0.902,8.323,4.365,0.814,4.015,2.945,1.232,14.024,0.507,0.839,0.506,0.878,0.619,0.779,1.95,2.77,0.788,0.912,0.517,2.032,4.901,0.966,1.958,0.993
722,3.816,0.889,9.937,4.818,1.035,4.04,2.837,1.339,11.016,0.514,0.791,0.598,0.921,0.682,0.843,1.772,2.529,0.909,1.003,0.512,2.236,5.576,1.214,2.119,0.912
723,4.082,0.908,11.081,5.241,1.307,3.79,2.536,1.425,8.359,0.553,0.749,0.708,0.947,0.702,0.912,1.926,2.157,0.996,1.039,0.502,2.587,6.203,1.498,2.105,0.827
724,4.186,0.943,11.463,5.472,1.554,3.364,2.087,1.439,7.07,0.628,0.711,0.813,0.953,0.679,0.956,2.377,1.696,1.042,1.001,0.482,3.079,6.58,1.782,1.932,0.747
725,4.067,0.97,11.155,5.405,1.712,3.026,1.565,1.36,7.259,0.778,0.675,0.913,0.948,0.633,0.969,2.955,1.238,1.043,0.905,0.462,3.66,6.547,2.042,1.665,0.679
726,3.731,0.975,10.023,5.059,1.751,2.794,1.064,1.206,8.193,1.034,0.644,1.02,0.938,0.593,0.958,3.53,0.9,1.013,0.79,0.45,4.244,6.125,2.286,1.388,0.627
727,3.245,0.965,8.502,4.538,1.686,2.829,0.666,1.026,8.989,1.382,0.627,1.142,0.927,0.591,0.938,3.7,0.763,0.977,0.698,0.454,4.68,5.452,2.516,1.164,0.599
728,2.697,0.954,6.631,3.944,1.56,2.839,0.436,0.882,9.044,1.757,0.64,1.282,0.911,0.651,0.914,3.746,0.831,0.957,0.658,0.473,4.803,4.698,2.721,1.015,0.609
729,2.158,0.958,5.056,3.33,1.423,2.907,0.369,0.818,8.154,2.065,0.697,1.422,0.883,0.778,0.885,3.347,1.045,0.96,0.681,0.499,4.546,4.019,2.861,0.935,0.673
730,1.694,0.986,3.612,2.73,1.32,2.762,0.393,0.851,6.724,2.239,0.802,1.565,0.84,0.975,0.848,3.181,1.311,0.973,0.754,0.52,3.983,3.524,2.888,0.928,0.793
731,1.354,1.036,2.727,2.159,1.265,2.611,0.424,0.967,4.952,2.265,0.944,1.707,0.786,1.217,0.8,2.904,1.537,0.967,0.855,0.526,3.327,3.25,2.774,1.011,0.95
732,1.142,1.096,2.078,1.661,1.252,2.287,0.44,1.126,4.027,2.169,1.096,1.847,0.734,1.468,0.75,3.153,1.664,0.922,0.964,0.516,2.846,3.109,2.522,1.203,1.104
733,1.036,1.152,1.795,1.264,1.267,2.101,0.456,1.286,3.773,2.018,1.223,1.988,0.695,1.693,0.713,3.444,1.69,0.853,1.072,0.496,2.688,2.969,2.195,1.499,1.214
734,1.183,1.179,2.111,1.085,1.296,2.066,0.491,1.421,4.234,1.872,1.294,2.144,0.672,1.864,0.705,3.984,1.637,0.794,1.172,0.475,2.858,2.731,1.888,1.853,1.253
735,2.837,1.172,7.313,1.622,1.34,4.174,0.564,1.535,4.886,1.937,1.298,2.405,0.663,1.952,0.734,4.348,1.548,0.766,1.255,0.463,3.209,2.425,1.664,2.181,1.225
736,7.92,1.142,25.485,3.591,1.408,11.833,0.686,1.646,5.392,2.512,1.255,2.838,0.666,1.925,0.794,4.468,1.47,0.768,1.314,0.466,3.494,2.15,1.543,2.394,1.164
737,17.469,1.099,62.083,7.389,1.497,27.533,0.861,1.774,6.282,3.735,1.201,3.436,0.681,1.773,0.871,4.308,1.452,0.791,1.336,0.486,3.698,2.012,1.51,2.446,1.112
738,30.463,1.046,114.934,12.57,1.584,50.502,1.07,1.926,7.238,5.411,1.174,4.049,0.72,1.521,0.949,3.981,1.522,0.834,1.306,0.516,3.702,2.073,1.488,2.348,1.096
739,43.669,0.987,172.033,17.768,1.644,75.414,1.262,2.085,8.493,7.054,1.197,4.461,0.789,1.222,1.011,3.614,1.68,0.907,1.223,0.547,3.616,2.337,1.431,2.16,1.114
740,52.956,0.923,215.827,21.369,1.658,95.085,1.379,2.21,9.468,8.112,1.262,4.507,0.893,0.949,1.042,3.337,1.896,1.025,1.104,0.569,3.486,2.741,1.336,1.953,1.138
741,55.167,0.858,231.859,22.184,1.619,102.699,1.39,2.248,10.244,8.192,1.345,4.133,1.024,0.751,1.034,3.135,2.134,1.181,0.978,0.58,3.517,3.16,1.229,1.773,1.139
