itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
1175,7.813,1.33,5.808,11.779,1.029,8.069,2.218,0.325,1.16,0.878,0.331,1.265,0.201,0.963,0.156,21.304,16.886,4.121,1.419,0.492,2.807,8.913,1.834,1.111,0.452
1176,9.582,1.353,5.488,13.165,1.055,7.437,1.706,0.371,1.305,0.92,0.384,1.255,0.209,0.946,0.16,22.425,15.174,3.943,1.661,0.513,4.136,8.004,2.077,1.323,0.472
1177,11.077,1.35,5.981,14.247,1.091,7.824,1.261,0.462,1.566,0.974,0.432,1.225,0.216,0.923,0.175,22.679,14.249,3.396,1.978,0.514,6.208,7.36,2.213,1.508,0.468
1178,11.806,1.292,6.741,14.685,1.093,8.749,0.97,0.573,1.841,0.998,0.464,1.145,0.221,0.895,0.197,21.727,13.998,2.754,2.281,0.498,8.546,7.019,2.186,1.59,0.439
1179,11.575,1.169,7.267,14.312,1.039,9.517,0.861,0.668,2.01,0.963,0.475,1.008,0.228,0.885,0.221,19.402,13.902,2.284,2.485,0.472,10.507,6.881,2.018,1.547,0.393
1180,10.513,1.006,7.296,13.191,0.941,9.598,0.904,0.715,2.019,0.893,0.466,0.841,0.239,0.916,0.242,16.04,13.46,2.094,2.546,0.44,11.575,6.731,1.773,1.405,0.343
1181,9.122,0.859,6.974,11.758,0.843,8.961,1.052,0.709,1.857,0.865,0.448,0.768,0.253,1.014,0.257,12.342,12.504,2.211,2.474,0.405,11.55,6.468,1.681,1.265,0.303
1182,7.998,0.793,6.713,10.553,0.803,8.061,1.262,0.667,1.56,0.961,0.43,0.928,0.264,1.173,0.266,9.378,11.291,2.602,2.353,0.372,10.649,6.221,2.03,1.262,0.28
1183,7.492,0.84,6.977,9.859,0.853,7.503,1.504,0.618,1.221,1.222,0.417,1.379,0.27,1.352,0.269,7.951,10.204,3.192,2.287,0.346,9.535,6.22,2.983,1.478,0.275
1184,7.616,0.989,8.031,9.68,0.993,7.667,1.731,0.584,0.945,1.615,0.407,2.055,0.268,1.499,0.265,8.034,9.472,3.869,2.339,0.331,8.828,6.598,4.402,1.869,0.282
1185,8.021,1.187,9.799,9.765,1.183,8.631,1.923,0.571,0.815,2.039,0.399,2.782,0.261,1.575,0.254,8.928,9.074,4.519,2.493,0.328,8.812,7.244,5.872,2.289,0.292
1186,8.232,1.36,11.798,9.743,1.363,9.984,2.085,0.574,0.881,2.358,0.388,3.338,0.252,1.56,0.239,9.807,8.826,4.944,2.644,0.34,9.191,7.79,6.856,2.556,0.297
1187,7.917,1.453,13.488,9.322,1.48,11.225,2.218,0.577,1.166,2.444,0.374,3.542,0.245,1.452,0.221,10.194,8.634,5.021,2.67,0.366,9.376,7.86,6.971,2.555,0.299
1188,7.0,1.438,14.312,8.426,1.5,11.922,2.305,0.568,1.639,2.257,0.353,3.329,0.246,1.276,0.206,9.905,8.51,4.746,2.51,0.4,8.902,7.343,6.172,2.281,0.3
1189,5.732,1.326,14.026,7.308,1.424,11.943,2.339,0.542,2.223,1.857,0.326,2.78,0.26,1.069,0.196,9.089,8.524,4.249,2.202,0.433,7.651,6.46,4.765,1.826,0.307
1190,4.472,1.165,12.74,6.335,1.292,11.402,2.342,0.506,2.772,1.419,0.3,2.124,0.292,0.885,0.193,8.092,8.781,3.663,1.853,0.462,6.01,5.663,3.303,1.36,0.322
1191,3.527,1.032,10.802,5.757,1.19,10.526,2.384,0.484,3.172,1.206,0.295,1.676,0.344,0.772,0.2,7.414,9.36,3.105,1.594,0.492,4.568,5.512,2.369,1.081,0.348
1192,3.134,0.99,8.742,5.76,1.21,9.584,2.541,0.497,3.346,1.429,0.328,1.716,0.413,0.756,0.215,7.509,10.292,2.643,1.516,0.536,3.944,6.463,2.318,1.095,0.385
1193,3.361,1.049,7.033,6.407,1.397,8.927,2.839,0.55,3.288,2.074,0.404,2.281,0.489,0.827,0.235,8.493,11.462,2.273,1.612,0.596,4.584,8.608,3.068,1.359,0.428
1194,4.202,1.171,5.992,7.744,1.712,8.77,3.212,0.629,3.054,2.909,0.506,3.177,0.555,0.933,0.258,10.028,12.667,1.976,1.802,0.667,6.321,11.572,4.206,1.71,0.47
1195,5.507,1.289,5.668,9.642,2.057,9.113,3.525,0.703,2.74,3.598,0.612,4.047,0.599,1.009,0.276,11.323,13.68,1.77,1.983,0.729,8.532,14.579,5.234,1.963,0.508
1196,6.946,1.356,5.89,11.748,2.319,9.828,3.635,0.739,2.422,3.854,0.694,4.545,0.621,1.002,0.287,11.645,14.251,1.723,2.091,0.761,10.424,16.718,5.793,2.011,0.536
