itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
31,3.431,0.74,5.666,5.155,0.483,7.051,1.752,0.668,1.507,0.848,0.338,1.552,0.241,0.382,0.262,4.32,7.984,1.92,0.87,0.292,3.305,6.408,1.653,0.682,0.226
32,4.038,0.794,5.907,6.403,0.559,8.256,1.924,0.551,1.175,1.094,0.353,1.745,0.256,0.313,0.245,4.689,7.464,1.813,0.85,0.34,4.611,6.147,2.153,0.916,0.231
33,4.963,0.921,5.848,8.02,0.704,9.393,2.265,0.455,1.044,1.582,0.372,2.288,0.268,0.339,0.224,5.447,7.657,1.89,0.937,0.394,6.444,6.212,3.006,1.23,0.258
34,6.446,1.094,5.599,10.189,0.87,10.299,2.613,0.391,1.073,2.137,0.397,2.958,0.279,0.426,0.202,6.357,8.257,2.057,1.103,0.445,8.343,6.546,3.874,1.526,0.297
35,8.585,1.263,5.363,12.895,1.006,10.885,2.822,0.355,1.177,2.595,0.428,3.532,0.297,0.54,0.188,7.128,8.848,2.199,1.316,0.483,9.721,6.906,4.434,1.71,0.338
36,11.129,1.371,5.367,15.705,1.074,11.065,2.81,0.338,1.251,2.834,0.461,3.847,0.325,0.639,0.187,7.521,9.076,2.228,1.542,0.505,10.095,7.033,4.51,1.723,0.369
37,13.5,1.377,5.696,17.981,1.058,10.828,2.567,0.327,1.236,2.831,0.487,3.877,0.36,0.682,0.2,7.484,8.843,2.114,1.75,0.51,9.295,6.79,4.097,1.563,0.385
38,14.986,1.279,6.402,19.074,0.969,10.314,2.151,0.321,1.139,2.648,0.499,3.671,0.4,0.654,0.225,7.078,8.254,1.909,1.91,0.502,7.569,6.198,3.353,1.286,0.388
39,15.194,1.113,7.406,18.764,0.85,9.83,1.684,0.318,1.008,2.41,0.497,3.34,0.437,0.576,0.254,6.445,7.494,1.667,1.989,0.487,5.575,5.439,2.543,0.985,0.386
40,14.269,0.98,8.766,17.391,0.805,9.781,1.283,0.324,0.895,2.314,0.492,3.054,0.469,0.497,0.282,5.819,6.865,1.502,1.981,0.473,4.014,4.91,2.039,0.8,0.385
41,12.887,0.99,10.424,15.738,0.952,10.414,1.013,0.341,0.819,2.524,0.502,2.962,0.497,0.466,0.308,5.48,6.714,1.494,1.903,0.464,3.328,5.077,2.148,0.846,0.39
42,11.834,1.19,12.22,14.58,1.336,11.627,0.882,0.369,0.766,3.088,0.533,3.113,0.521,0.5,0.331,5.577,7.25,1.639,1.783,0.461,3.569,6.136,2.904,1.156,0.399
43,11.555,1.525,13.867,14.256,1.882,12.958,0.844,0.402,0.719,3.9,0.577,3.455,0.536,0.579,0.354,6.174,8.596,1.823,1.648,0.456,4.347,7.9,4.046,1.651,0.405
44,11.972,1.873,14.87,14.543,2.421,13.741,0.826,0.427,0.669,4.748,0.611,3.867,0.534,0.658,0.372,7.218,10.74,1.955,1.518,0.438,5.14,9.819,5.178,2.157,0.401
45,12.646,2.098,14.889,14.971,2.765,13.546,0.781,0.432,0.637,5.379,0.609,4.193,0.509,0.7,0.383,8.575,13.509,2.026,1.399,0.4,5.649,11.142,5.899,2.492,0.386
46,13.227,2.111,13.759,15.248,2.781,12.334,0.721,0.413,0.663,5.596,0.56,4.296,0.458,0.7,0.384,9.958,16.441,2.081,1.282,0.345,5.815,11.308,5.945,2.536,0.358
47,13.717,1.9,11.644,15.397,2.464,10.262,0.684,0.377,0.779,5.353,0.474,4.126,0.389,0.682,0.376,10.885,18.931,2.172,1.149,0.284,5.727,10.284,5.305,2.268,0.324
48,14.283,1.546,8.989,15.563,1.933,7.79,0.699,0.335,0.976,4.774,0.375,3.738,0.319,0.684,0.363,10.847,20.493,2.335,0.991,0.232,5.539,8.46,4.198,1.779,0.296
49,14.958,1.185,6.363,15.772,1.383,5.468,0.773,0.3,1.209,4.113,0.294,3.294,0.263,0.735,0.351,9.677,21.03,2.597,0.829,0.201,5.366,6.43,3.0,1.248,0.284
50,15.531,0.936,4.21,15.859,0.987,3.743,0.881,0.282,1.414,3.563,0.251,2.939,0.233,0.843,0.344,7.817,20.919,2.929,0.721,0.195,5.215,4.722,2.09,0.868,0.295
51,15.631,0.855,2.835,15.639,0.828,2.885,0.99,0.29,1.536,3.203,0.249,2.757,0.236,0.989,0.343,5.927,20.591,3.203,0.725,0.212,5.001,3.588,1.703,0.773,0.324
52,15.055,0.914,2.357,15.196,0.872,3.081,1.069,0.329,1.561,3.002,0.278,2.741,0.263,1.134,0.344,4.526,20.185,3.297,0.856,0.248,4.79,2.977,1.837,0.979,0.36
53,13.939,1.031,2.609,14.824,1.011,4.162,1.1,0.39,1.521,2.825,0.315,2.763,0.3,1.236,0.342,3.934,19.618,3.155,1.069,0.293,4.661,2.646,2.255,1.375,0.387
54,12.592,1.127,3.294,14.717,1.132,5.753,1.095,0.454,1.461,2.538,0.344,2.687,0.33,1.271,0.331,4.11,18.687,2.804,1.279,0.34,4.717,2.345,2.668,1.789,0.394
55,11.361,1.152,4.19,14.833,1.167,7.407,1.077,0.504,1.426,2.108,0.356,2.449,0.344,1.229,0.308,4.853,17.24,2.345,1.407,0.383,4.951,2.025,2.853,2.055,0.381
56,10.406,1.106,5.007,14.837,1.111,8.604,1.057,0.524,1.426,1.598,0.35,2.075,0.34,1.128,0.276,5.803,15.257,1.893,1.42,0.421,5.298,1.761,2.762,2.099,0.358
57,9.673,1.066,5.584,14.282,1.06,9.026,1.03,0.514,1.494,1.202,0.343,1.717,0.329,0.998,0.243,6.729,12.9,1.677,1.388,0.462,5.724,1.691,2.612,1.988,0.349
58,9.087,1.131,5.896,13.006,1.143,8.637,1.005,0.485,1.702,1.123,0.356,1.57,0.33,0.878,0.217,7.6,10.583,1.9,1.431,0.521,6.216,1.999,2.747,1.87,0.375
59,8.651,1.358,5.95,11.29,1.449,7.621,1.019,0.46,2.139,1.458,0.409,1.772,0.359,0.791,0.205,8.403,8.783,2.653,1.645,0.607,6.785,2.834,3.403,1.909,0.448
60,8.464,1.719,5.872,9.76,1.959,6.429,1.113,0.452,2.862,2.093,0.506,2.259,0.415,0.737,0.204,9.159,7.774,3.774,2.038,0.711,7.444,4.218,4.511,2.182,0.552
61,8.567,2.102,5.819,8.956,2.53,5.462,1.299,0.464,3.742,2.826,0.627,2.825,0.483,0.704,0.209,9.816,7.499,4.926,2.501,0.807,8.038,5.96,5.693,2.625,0.653
62,8.898,2.367,5.805,9.046,2.957,4.883,1.542,0.485,4.589,3.49,0.737,3.262,0.537,0.683,0.214,10.23,7.668,5.704,2.856,0.861,8.297,7.716,6.466,3.053,0.716
63,9.274,2.413,5.799,9.76,3.073,4.682,1.753,0.499,5.112,3.946,0.801,3.409,0.556,0.676,0.213,10.292,7.969,5.833,2.947,0.852,8.151,9.079,6.457,3.251,0.719
64,9.528,2.227,5.711,10.627,2.836,4.627,1.839,0.502,5.118,4.112,0.8,3.23,0.531,0.686,0.206,9.977,8.267,5.334,2.722,0.782,7.444,9.788,5.614,3.103,0.662
65,9.672,1.882,5.534,11.422,2.352,4.559,1.766,0.496,4.58,3.98,0.739,2.83,0.472,0.707,0.195,9.492,8.626,4.382,2.261,0.676,6.364,9.839,4.261,2.652,0.564
66,9.947,1.486,5.214,12.326,1.796,4.364,1.555,0.489,3.674,3.608,0.648,2.355,0.403,0.722,0.184,9.104,9.369,3.226,1.723,0.567,5.12,9.48,2.845,2.032,0.455
67,10.59,1.142,4.961,13.599,1.334,4.351,1.271,0.485,2.716,3.111,0.56,1.931,0.343,0.72,0.175,9.297,11.004,2.145,1.275,0.482,4.246,9.065,1.726,1.418,0.363
68,11.637,0.917,4.815,15.323,1.06,4.739,0.993,0.483,1.963,2.668,0.499,1.639,0.309,0.721,0.168,10.337,14.054,1.406,1.032,0.433,4.054,8.886,1.127,0.978,0.304
69,12.861,0.835,4.742,17.254,0.977,5.632,0.789,0.476,1.541,2.419,0.472,1.496,0.308,0.757,0.161,12.118,18.585,1.13,1.02,0.411,4.565,9.049,1.048,0.809,0.282
70,13.979,0.882,4.696,19.036,1.02,6.996,0.707,0.461,1.409,2.401,0.468,1.46,0.336,0.841,0.158,14.101,23.981,1.289,1.187,0.398,5.661,9.499,1.316,0.916,0.291
71,14.796,1.023,4.67,20.417,1.108,8.642,0.759,0.442,1.448,2.574,0.468,1.508,0.382,0.958,0.16,15.554,29.008,1.761,1.436,0.381,7.072,10.103,1.739,1.213,0.316
72,15.183,1.213,4.557,21.246,1.187,10.086,0.909,0.425,1.533,2.831,0.46,1.623,0.434,1.06,0.172,15.802,32.269,2.407,1.667,0.36,8.403,10.676,2.177,1.563,0.346
73,15.071,1.39,4.278,21.455,1.22,10.807,1.103,0.417,1.539,2.98,0.442,1.737,0.478,1.1,0.192,14.659,32.985,3.031,1.78,0.339,9.219,11.061,2.473,1.821,0.365
74,14.406,1.489,3.822,20.943,1.188,10.46,1.29,0.413,1.426,2.883,0.416,1.792,0.501,1.062,0.217,12.321,31.253,3.458,1.717,0.322,9.225,11.122,2.517,1.896,0.364
75,13.131,1.467,3.252,19.555,1.092,9.081,1.426,0.403,1.223,2.512,0.388,1.745,0.5,0.97,0.238,9.467,27.889,3.584,1.492,0.311,8.476,10.745,2.267,1.785,0.341
76,11.356,1.339,2.71,17.314,0.957,7.093,1.488,0.381,0.951,2.007,0.366,1.65,0.488,0.877,0.251,6.957,23.975,3.404,1.187,0.307,7.245,9.971,1.818,1.568,0.308
